category,subcategory,period,n,statistic,value
corporate_disclosure,,post_2024,8,mean,-0.477295
corporate_disclosure,,post_2024,8,median,-0.447162
corporate_disclosure,,post_2024,8,std,0.476758
corporate_disclosure,,post_2024,8,skewness,-0.533971
corporate_disclosure,,post_2024,8,kurtosis,-0.304072
corporate_disclosure,,post_2024,8,p01,-1.384925
corporate_disclosure,,post_2024,8,p05,-1.230797
corporate_disclosure,,post_2024,8,p10,-1.038137
corporate_disclosure,,post_2024,8,p25,-0.642493
corporate_disclosure,,post_2024,8,p50,-0.447162
corporate_disclosure,,post_2024,8,p75,-0.191
corporate_disclosure,,post_2024,8,p90,0.027823
corporate_disclosure,,post_2024,8,p95,0.130282
corporate_disclosure,,post_2024,8,p99,0.21225
military_geopolitics,,post_2024,11,mean,-0.577784
military_geopolitics,,post_2024,11,median,-0.646465
military_geopolitics,,post_2024,11,std,0.395641
military_geopolitics,,post_2024,11,skewness,0.296908
military_geopolitics,,post_2024,11,kurtosis,-1.502773
military_geopolitics,,post_2024,11,p01,-0.99
military_geopolitics,,post_2024,11,p05,-0.99
military_geopolitics,,post_2024,11,p10,-0.99
military_geopolitics,,post_2024,11,p25,-0.986476
military_geopolitics,,post_2024,11,p50,-0.646465
military_geopolitics,,post_2024,11,p75,-0.265451
military_geopolitics,,post_2024,11,p90,-0.021739
military_geopolitics,,post_2024,11,p95,0.014131
military_geopolitics,,post_2024,11,p99,0.042826
military_geopolitics,,pre_2024,11,mean,-0.662636
military_geopolitics,,pre_2024,11,median,-0.996
military_geopolitics,,pre_2024,11,std,0.542173
military_geopolitics,,pre_2024,11,skewness,1.794523
military_geopolitics,,pre_2024,11,kurtosis,2.229181
military_geopolitics,,pre_2024,11,p01,-0.999
military_geopolitics,,pre_2024,11,p05,-0.999
military_geopolitics,,pre_2024,11,p10,-0.999
military_geopolitics,,pre_2024,11,p25,-0.999
military_geopolitics,,pre_2024,11,p50,-0.996
military_geopolitics,,pre_2024,11,p75,-0.515
military_geopolitics,,pre_2024,11,p90,-0.18
military_geopolitics,,pre_2024,11,p95,0.32
military_geopolitics,,pre_2024,11,p99,0.72
regulatory_decision,regulatory_decision_announcement,post_2024,14,mean,-0.850143
regulatory_decision,regulatory_decision_announcement,post_2024,14,median,-0.796822
regulatory_decision,regulatory_decision_announcement,post_2024,14,std,0.82082
regulatory_decision,regulatory_decision_announcement,post_2024,14,skewness,-0.084922
regulatory_decision,regulatory_decision_announcement,post_2024,14,kurtosis,-1.081495
regulatory_decision,regulatory_decision_announcement,post_2024,14,p01,-2.205302
regulatory_decision,regulatory_decision_announcement,post_2024,14,p05,-2.161993
regulatory_decision,regulatory_decision_announcement,post_2024,14,p10,-1.940055
regulatory_decision,regulatory_decision_announcement,post_2024,14,p25,-1.480274
regulatory_decision,regulatory_decision_announcement,post_2024,14,p50,-0.796822
regulatory_decision,regulatory_decision_announcement,post_2024,14,p75,-0.175422
regulatory_decision,regulatory_decision_announcement,post_2024,14,p90,0.110823
regulatory_decision,regulatory_decision_announcement,post_2024,14,p95,0.297889
regulatory_decision,regulatory_decision_announcement,post_2024,14,p99,0.47978
regulatory_decision,regulatory_decision_announcement,pre_2024,5,mean,-0.313438
regulatory_decision,regulatory_decision_announcement,pre_2024,5,median,-0.2315
regulatory_decision,regulatory_decision_announcement,pre_2024,5,std,0.602704
regulatory_decision,regulatory_decision_announcement,pre_2024,5,skewness,-0.030745
regulatory_decision,regulatory_decision_announcement,pre_2024,5,kurtosis,-1.660149
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p01,-0.999
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p05,-0.999
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p10,-0.999
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p25,-0.999
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p50,-0.2315
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p75,0.192308
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p90,0.358923
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p95,0.414462
regulatory_decision,regulatory_decision_announcement,pre_2024,5,p99,0.458892
regulatory_decision,regulatory_decision_formal,post_2024,22,mean,-0.484327
regulatory_decision,regulatory_decision_formal,post_2024,22,median,-0.211
regulatory_decision,regulatory_decision_formal,post_2024,22,std,1.781155
regulatory_decision,regulatory_decision_formal,post_2024,22,skewness,-3.12286
regulatory_decision,regulatory_decision_formal,post_2024,22,kurtosis,9.82401
regulatory_decision,regulatory_decision_formal,post_2024,22,p01,-6.751384
regulatory_decision,regulatory_decision_formal,post_2024,22,p05,-2.901316
regulatory_decision,regulatory_decision_formal,post_2024,22,p10,-1.056093
regulatory_decision,regulatory_decision_formal,post_2024,22,p25,-0.494644
regulatory_decision,regulatory_decision_formal,post_2024,22,p50,-0.211
regulatory_decision,regulatory_decision_formal,post_2024,22,p75,0.468158
regulatory_decision,regulatory_decision_formal,post_2024,22,p90,0.616398
regulatory_decision,regulatory_decision_formal,post_2024,22,p95,0.812225
regulatory_decision,regulatory_decision_formal,post_2024,22,p99,0.95788
regulatory_decision,regulatory_decision_formal,pre_2024,14,mean,-0.215632
regulatory_decision,regulatory_decision_formal,pre_2024,14,median,-0.15777
regulatory_decision,regulatory_decision_formal,pre_2024,14,std,0.435212
regulatory_decision,regulatory_decision_formal,pre_2024,14,skewness,-0.092262
regulatory_decision,regulatory_decision_formal,pre_2024,14,kurtosis,-0.93575
regulatory_decision,regulatory_decision_formal,pre_2024,14,p01,-0.95527
regulatory_decision,regulatory_decision_formal,pre_2024,14,p05,-0.89235
regulatory_decision,regulatory_decision_formal,pre_2024,14,p10,-0.811
regulatory_decision,regulatory_decision_formal,pre_2024,14,p25,-0.5125
regulatory_decision,regulatory_decision_formal,pre_2024,14,p50,-0.15777
regulatory_decision,regulatory_decision_formal,pre_2024,14,p75,-0.004696
regulatory_decision,regulatory_decision_formal,pre_2024,14,p90,0.36
regulatory_decision,regulatory_decision_formal,pre_2024,14,p95,0.4055
regulatory_decision,regulatory_decision_formal,pre_2024,14,p99,0.4731
